TIPO DIA,AÑO,MES,DIA,HORA,DEMANDA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA
VIERNES,2023,3,24,13,1391.80115,2506136.0,277430.0,2783566.0,572.7367744504711,0.4537178820261492,21.52957047901864,74.00587128525063,3.262801456836302,948.7668465378584,19.07743790519068,4755.12,181.36,131.77,2023-03-24 13:00:00
SABADO,2023,3,25,13,1287.56495,2506136.0,277430.0,2783566.0,521.9108785996093,0.4090554130924145,22.39560668581237,66.54056217815565,0.0514689322976354,920.2560617639388,19.105531336422416,4741.76,181.36,131.77,2023-03-25 13:00:00
DOMINGO,2023,3,26,13,1113.63461,2506136.0,277430.0,2783566.0,549.9556100591831,0.4309870396462666,22.833256750513552,65.1243942769814,0.0167581404572408,911.997551716036,19.382171721453705,4741.76,181.36,131.77,2023-03-26 13:00:00
LUNES,2023,3,27,13,1389.69338,2506136.0,277430.0,2783566.0,507.8743338760424,0.3992972395840443,20.50055681453215,78.46271635377066,0.3501038811366427,923.6906681501356,18.545641957115443,4741.76,181.36,131.77,2023-03-27 13:00:00
MARTES,2023,3,28,13,1394.2968,2506136.0,277430.0,2783566.0,705.7497971199533,0.554664376558702,23.860937531209967,58.10209328968668,0.0129408679370275,959.6697941704992,19.477105849115844,4686.83,181.36,131.77,2023-03-28 13:00:00
MIERCOLES,2023,3,29,13,1379.69345,2506136.0,277430.0,2783566.0,566.3770626563193,0.4443182521987982,19.75608367468205,74.08294789489453,0.0582563265968904,937.9758873761212,17.346641523858246,4658.79,181.36,131.77,2023-03-29 13:00:00
JUEVES,2023,3,30,13,1383.39507,2506136.0,277430.0,2783566.0,679.4648500053529,0.5316642968048899,22.857485595814865,67.30626373867192,0.0335863061985956,937.847701728646,19.660030094490303,4627.63,181.36,131.77,2023-03-30 13:00:00
VIERNES,2023,3,31,13,1367.78279,2506136.0,277430.0,2783566.0,563.8705494534709,0.4467335604760225,22.90069146195923,66.73938130800563,0.1031142678133013,899.2037707889808,19.63157559763268,4627.27,181.36,131.77,2023-03-31 13:00:00
SABADO,2023,4,1,13,1308.75736,2512448.0,277935.0,2790383.0,565.4539920935584,0.4491896990484819,21.825051568189743,74.00099054860928,0.0390215608394976,910.1620023882026,19.36203085741277,4646.08,179.17,132.8,2023-04-01 13:00:00
DOMINGO,2023,4,2,13,1070.95825,2512448.0,277935.0,2790383.0,557.4497693076543,0.4384232307894651,22.484799688788243,69.98602054628343,0.1083988613749438,935.6631611036908,19.599278353545017,4646.08,179.17,132.8,2023-04-02 13:00:00
LUNES,2023,4,3,13,1418.84493,2512448.0,277935.0,2790383.0,774.3367790586453,0.6046175417496451,24.34773052659796,60.64114165689799,0.0698760313548355,967.049493184269,20.261568849150816,4646.08,179.17,132.8,2023-04-03 13:00:00
MARTES,2023,4,4,13,1408.23014,2512448.0,277935.0,2790383.0,607.1183540037335,0.4795901817062389,23.66492437418089,65.40521525539684,0.1355580398819803,925.2361862762208,20.20211931480374,4603.0,179.17,132.8,2023-04-04 13:00:00
MSS,2023,4,5,13,1382.11711,2512448.0,277935.0,2790383.0,673.4159885005033,0.5295294158543827,21.72309104879151,74.06060939304749,0.3810578977867913,932.6244194506633,19.279286563887467,4587.31,179.17,132.8,2023-04-05 13:00:00
JSS,2023,4,6,13,1089.80615,2512448.0,277935.0,2790383.0,524.1086787297658,0.4134757594208393,22.672593815974363,64.29726419276493,0.0901622357934376,938.2515093053536,19.10660647301822,4570.91,179.17,132.8,2023-04-06 13:00:00
VSS,2023,4,7,13,1015.93008,2512448.0,277935.0,2790383.0,490.73834127788194,0.3913436076696281,22.13251612413063,65.84858979215399,0.4571417830455532,935.1534243256212,18.77803394372744,4570.91,179.17,132.8,2023-04-07 13:00:00
SSS,2023,4,8,13,1127.44917,2512448.0,277935.0,2790383.0,655.754417597871,0.5253143672391927,23.56070137683609,61.54152517055902,0.0016896676907793,936.7140248130812,19.63792196985145,4570.91,179.17,132.8,2023-04-08 13:00:00
DSS,2023,4,9,13,1083.44205,2512448.0,277935.0,2790383.0,785.5205995664394,0.6216681115101405,24.69094725347739,59.75938839937026,0.0093710863347432,945.835704503647,20.501384240084604,4570.91,179.17,132.8,2023-04-09 13:00:00
LUNES,2023,4,10,13,1393.06706,2512448.0,277935.0,2790383.0,668.4174203182861,0.5284795671418584,21.503280843525783,73.39562136452236,0.0546776947824008,934.3415932687376,19.005420445867102,4570.91,179.17,132.8,2023-04-10 13:00:00
MARTES,2023,4,11,13,1404.35523,2512448.0,277935.0,2790383.0,549.5179663974443,0.435156403260771,23.00284174251348,69.84402773741095,0.0922163122410077,946.2348371209258,20.091654335623463,4564.24,179.17,132.8,2023-04-11 13:00:00
MIERCOLES,2023,4,12,13,1435.10851,2512448.0,277935.0,2790383.0,492.4826042948226,0.3989443778864766,22.89581522679861,64.92261365912852,0.0141207784021046,909.5175491608142,19.4028320162501,4516.76,179.17,132.8,2023-04-12 13:00:00
JUEVES,2023,4,13,13,1443.59266,2512448.0,277935.0,2790383.0,418.9882188466601,0.3324323040958893,22.48428568407993,68.92669479781091,0.0356906919229367,924.9686760097092,19.48688375395062,4458.87,179.17,132.8,2023-04-13 13:00:00
VIERNES,2023,4,14,13,1433.17339,2512448.0,277935.0,2790383.0,491.2294935748964,0.3954898019375835,21.924963863383628,75.12986490743386,0.1322204586252138,914.1567424651024,19.58675939826181,4424.02,179.17,132.8,2023-04-14 13:00:00
SABADO,2023,4,15,13,1384.50359,2512448.0,277935.0,2790383.0,563.7463697134049,0.4456474505471113,22.55303385592587,72.66405907002729,0.227620738801806,908.5668967521664,19.96812130449476,4425.27,179.17,132.8,2023-04-15 13:00:00
DOMINGO,2023,4,16,13,1130.64461,2512448.0,277935.0,2790383.0,385.3124698544967,0.3048353899805152,21.02400164421873,76.68750034314286,0.3933081910261064,898.9392294857015,18.880388620486865,4425.27,179.17,132.8,2023-04-16 13:00:00
LUNES,2023,4,17,13,1399.81837,2512448.0,277935.0,2790383.0,571.3411764370697,0.4630474167883047,22.471379427125235,68.87991914729986,0.2263154341178254,931.2195653607408,19.46182614716331,4425.27,179.17,132.8,2023-04-17 13:00:00
MARTES,2023,4,18,13,1408.72191,2512448.0,277935.0,2790383.0,485.0822658323248,0.3895169121944908,22.088141710295684,71.9692208273918,0.2780834423088157,930.3276547986422,19.43026053771113,4431.45,179.17,132.8,2023-04-18 13:00:00
MIERCOLES,2023,4,19,13,1408.27847,2512448.0,277935.0,2790383.0,775.7798995120025,0.62219685971424,25.53614526392972,56.91999402232597,0.0335799637540796,933.54520186297,20.940785279296783,4473.07,179.17,132.8,2023-04-19 13:00:00
JUEVES,2023,4,20,13,1395.85057,2512448.0,277935.0,2790383.0,501.4680407994171,0.4075104026938237,20.288423668005432,83.7264525013233,0.4467033486084168,929.38256155517,18.85573750986872,4532.43,179.17,132.8,2023-04-20 13:00:00
VIERNES,2023,4,21,13,1400.09391,2512448.0,277935.0,2790383.0,530.7899127109074,0.4251227232964077,23.15686805001321,63.19342899164738,0.281575593744658,922.5930930700192,19.4587005726454,4535.78,179.17,132.8,2023-04-21 13:00:00
SABADO,2023,4,22,13,1320.26816,2512448.0,277935.0,2790383.0,495.1974180211104,0.4018042541113532,22.558890575236447,65.33889371459043,0.1508094516057473,901.2390260369276,19.13681019773988,4523.64,179.17,132.8,2023-04-22 13:00:00
DOMINGO,2023,4,23,13,1141.32426,2512448.0,277935.0,2790383.0,525.4829671016488,0.4275375530885903,23.98354168943833,58.23585664763583,0.1087288841710976,931.5444819976326,19.620079684401748,4523.64,179.17,132.8,2023-04-23 13:00:00
LUNES,2023,4,24,13,1417.73004,2512448.0,277935.0,2790383.0,611.6745191036499,0.4904678927588076,23.59986711859985,59.64592835463805,0.0194566695682994,918.1001123716708,19.43089265523765,4523.64,179.17,132.8,2023-04-24 13:00:00
MARTES,2023,4,25,13,1468.22882,2512448.0,277935.0,2790383.0,615.7718585298147,0.4969924021182755,23.62751150648495,61.09846836437865,0.0506316158032786,939.3356456264248,19.6428128289199,4482.45,179.17,132.8,2023-04-25 13:00:00
MIERCOLES,2023,4,26,13,1467.53562,2512448.0,277935.0,2790383.0,573.7476321960104,0.4671135252759209,23.1211816406565,63.681745649253166,0.012931296528111,914.6115737696224,19.474208959845296,4486.6,179.17,132.8,2023-04-26 13:00:00
JUEVES,2023,4,27,13,1445.84352,2512448.0,277935.0,2790383.0,644.7705939328042,0.5207935039741857,22.38731215033922,68.02910707956578,0.1567731132249587,930.5613788859808,19.282547381488488,4552.59,179.17,132.8,2023-04-27 13:00:00
VIERNES,2023,4,28,13,1422.9453,2512448.0,277935.0,2790383.0,724.2498099687391,0.5880195872752951,23.11486012852,67.7472566059928,0.0311977280538191,930.121008091004,19.97466568209454,4654.14,179.17,132.8,2023-04-28 13:00:00
SABADO,2023,4,29,13,1324.14367,2512448.0,277935.0,2790383.0,569.1287164486023,0.4645502069070805,23.347815038294023,68.16489476892599,0.1131184177942598,921.2112384070574,20.219084631034523,4669.0,179.17,132.8,2023-04-29 13:00:00
DOMINGO,2023,4,30,13,1116.78487333,2512448.0,277935.0,2790383.0,570.5209406020607,0.4674932724289103,23.65180585245825,64.36522861556998,0.0904201860461449,909.52082039634,20.05573181530994,4669.0,179.17,132.8,2023-04-30 13:00:00
1--MAY,2023,5,1,13,1149.91739,2518629.0,278093.0,2796722.0,785.3614196620186,0.6412116113078097,24.554962434593072,61.061034850800326,0.0013093292790631,939.8425665511264,20.531773826644194,4669.0,177.7,133.38,2023-05-01 13:00:00
MARTES,2023,5,2,13,1461.45982,2518629.0,278093.0,2796722.0,838.2674607415396,0.6850532802330728,24.669047849589628,62.75318163550042,0.0008483038357048,931.6963739549371,20.874639399268144,4669.0,177.7,133.38,2023-05-02 13:00:00
MIERCOLES,2023,5,3,13,1489.59071,2518629.0,278093.0,2796722.0,849.0545537668742,0.6959551253217159,25.545316924599582,57.75984211873757,0.0011086264562584,945.9236028178703,21.06469624081335,4713.08,177.7,133.38,2023-05-03 13:00:00
