TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
MIERCOLES,2023,3,22,0,2506136.0,277430.0,2783566.0,0.0,-999.0,17.70631465896623,95.46955554493768,0.0151442358471112,0.0,17.335061058369014,4804.29,181.36,131.77,2023-03-22 00:00:00,906.02482
VIERNES,2020,3,6,19,2284050.0,262817.0,2546867.0,0.0,-999.0,19.656612072793752,90.02929394821166,0.0068880510839396,0.0,18.79052688656298,3522.41,123.27,105.53,2020-03-06 19:00:00,1428.36654
VIERNES,2022,2,11,9,2422059.0,272043.0,2694102.0,647.5851225491834,0.6704819008337471,20.886118866323542,75.3045663193153,0.0399409265128046,702.7368136024545,18.60895457187589,3917.75,156.94,115.11,2022-02-11 09:00:00,1313.02122
LUNES,2020,10,5,12,2322315.0,264928.0,2587243.0,758.6407590203162,0.5775509915380966,23.90829835465784,53.00666307726024,6.532822776986933e-05,1012.9177600944324,18.77837932501895,3881.8,124.42,105.23,2020-10-05 12:00:00,1300.86188
JUEVES,2021,7,29,6,2374016.0,268457.0,2642473.0,57.11477965148556,0.3456823778331888,16.756797223661323,92.7291173381904,0.0005977544519849,61.9402292738658,16.162064373032383,3902.18,138.63,109.14,2021-07-29 06:00:00,1074.38453
SABADO,2021,12,4,23,2410661.0,271264.0,2681925.0,0.0,-999.0,17.62379282418412,96.04335673443516,0.0096871426307596,0.0,17.302193692963076,3948.33,147.65,111.41,2021-12-04 23:00:00,942.01
DOMINGO,2019,3,3,7,2211378.0,209933.0,2421311.0,171.86519615613193,0.4026537070207007,17.228084578973952,94.10292063266552,0.1693417656798321,199.8229586327407,16.73735688228402,3091.49,117.82,101.62,2019-03-03 07:00:00,777.64
MIERCOLES,2023,2,22,23,2498546.0,277051.0,2775597.0,0.0,-999.0,15.29269208390123,98.2354034573463,2.944231457232444e-05,0.0,15.253619671731885,4950.33,181.43,130.4,2023-02-22 23:00:00,975.05185
DOMINGO,2019,2,3,1,2205852.0,209522.0,2415374.0,0.0,-999.0,16.688940073048727,98.69369356464053,0.0470277273830056,0.0,16.588438626895876,3102.61,117.38,101.18,2019-02-03 01:00:00,740.51
SABADO,2018,9,29,22,2176864.0,207081.0,2383945.0,0.0,-999.0,18.09880137335383,99.44984639746302,1.9241316766955607,0.0,18.05904958797288,2972.18,116.1,99.46,2018-09-29 22:00:00,922.02
LUNES,2018,4,16,19,2151110.0,205066.0,2356176.0,0.0,-999.0,18.4066610771012,98.53112276841796,0.187227244484283,0.0,18.29331363616301,2705.34,113.43,98.9,2018-04-16 19:00:00,1295.97
